week,passing_epa,completions,attempts,passing_yards,passing_tds,interceptions,sacks,pacr
5,-1.4217072618193924,2,2,8,0,0,1,8
8,-2.3172528342111036,2,3,3,0,0,0,0.125
10,-0.29045116109773517,7,9,68,0,1,0,0.8947368421052632
11,-1.0920929117128253,2,3,15,0,0,0,0.3125
18,0.9062224575763875,3,4,30,0,0,0,1.1538461538461537
4,-1.1255575283430517,3,5,18,0,0,0,0.6428571428571429
8,-7.641714351077098,15,27,138,1,2,2,0.552
13,8.028602926241097,11,17,117,1,0,0,0.6610169491525424
14,-16.507744101715836,22,35,190,1,1,2,0.6737588652482269
15,-2.4031188849476166,16,23,169,1,2,3,0.6869918699186992
1,-6.4536129623823655,21,39,226,2,1,0,0.6384180790960452
2,10.558776084871267,29,41,305,2,1,1,1.1131386861313868
3,20.917330593607605,24,33,272,3,0,0,1.2197309417040358
4,0.6326508337961019,18,30,203,1,2,1,1.041025641025641
5,14.760243160670512,31,41,281,2,0,2,1.16597510373444
6,4.571162276312816,30,40,306,1,1,2,1.9367088607594938
7,22.31995404173889,32,42,424,4,1,1,1.2361516034985423
8,-10.966318837583815,24,38,240,0,2,3,0.8664259927797834
9,1.3612226745462976,20,30,185,2,0,2,1.1077844311377245
11,-8.02547696947013,24,43,177,2,1,1,0.4621409921671018
12,12.587395862261761,27,34,298,2,0,1,1.784431137724551
13,3.9477347129723346,21,33,210,1,1,3,0.7342657342657343
14,-2.9969492363316514,25,43,271,1,1,1,0.9508771929824561
15,2.109378518108879,27,37,305,2,2,3,1.425233644859813
16,-14.331734661759542,27,44,235,1,1,4,1.4779874213836477
17,-0.030240401020961483,21,29,245,1,0,2,1.6666666666666667
3,0.4268732601776719,2,2,9,0,0,0,1.2857142857142858
6,NA,0,0,0,0,0,0,NA
10,-1.0978968928102404,1,2,5,0,0,0,0.45454545454545453
13,0.9100369421664873,9,10,63,0,0,2,0.9
16,0.15062477526953444,11,15,94,1,0,1,0.9591836734693877
17,5.191076907221023,17,24,178,0,0,3,1.1633986928104576
1,-9.239667566276069,21,30,132,0,0,3,0.7096774193548387
2,7.4308851843492665,21,31,228,1,0,0,0.7378640776699029
3,4.56063140622018,17,21,189,1,0,2,1.4427480916030535
4,3.8983110031806874,28,41,265,2,0,1,0.7817109144542773
5,-15.65153375652153,15,32,166,2,2,3,0.532051282051282
6,-17.462166118847428,21,41,235,0,1,2,0.5516431924882629
7,-12.358147968825682,19,33,146,0,0,4,0.6293103448275862
8,-8.744719452253776,25,37,208,2,2,2,0.7908745247148289
9,-4.969575328276971,20,30,158,2,0,3,0.797979797979798
10,8.31462603116892,23,34,268,1,0,1,1.00374531835206
11,1.061477755532914,20,32,221,1,1,2,0.9444444444444444
12,-23.790539162216255,22,32,185,1,4,2,0.7088122605363985
14,-13.79923919798222,10,23,63,0,0,5,0.3888888888888889
7,-0.09442649222910404,0,0,0,0,0,1,NA
11,-7.643585715384688,7,14,33,0,1,1,0.3626373626373626
12,-18.66758491814835,27,38,179,1,2,7,1.0654761904761905
13,-4.676407473485347,14,25,148,0,1,1,0.6788990825688074
3,4.690234114881605,2,2,67,1,0,0,1.9142857142857144
6,-8.976947910850868,0,1,0,0,1,0,NA
12,NA,0,0,0,0,0,0,NA
13,-1.0640873379306868,1,1,3,0,0,0,0
15,-1.8901005836669356,2,2,4,0,0,0,0
17,NA,0,0,0,0,0,0,NA
18,-10.079575101757655,3,4,27,0,1,1,4.5
2,NA,0,0,0,0,0,0,NA
3,NA,0,0,0,0,0,0,NA
4,NA,0,0,0,0,0,0,NA
11,NA,0,0,0,0,0,0,NA
15,NA,0,0,0,0,0,0,NA
17,NA,0,0,0,0,0,0,NA
